,id,type
876,FUN_027805,gene
877,FUN_027808,gene
878,FUN_027853,gene
879,FUN_027944,gene
880,FUN_027989,gene
881,FUN_027993,gene
882,FUN_028279,gene
883,FUN_031509,gene
884,FUN_031877,gene
885,FUN_032651,gene
886,FUN_034998,gene
887,FUN_035270,gene
888,FUN_041315,gene
889,FUN_043346,gene
890,FUN_000534,gene
891,FUN_006262,gene
892,FUN_010793,gene
893,FUN_012022,gene
894,FUN_015460,gene
895,FUN_029637,gene
896,FUN_034118,gene
897,FUN_000586,gene
898,FUN_006581,gene
899,FUN_006866,gene
900,FUN_009459,gene
901,FUN_009529,gene
902,FUN_016136,gene
903,FUN_018493,gene
904,FUN_019432,gene
905,FUN_028473,gene
906,FUN_032460,gene
907,FUN_037199,gene
908,FUN_039042,gene
909,FUN_038393,gene
910,FUN_040665,gene
911,FUN_001555,gene
912,FUN_004142,gene
913,FUN_005366,gene
914,FUN_007962,gene
915,FUN_014892,gene
916,FUN_020852,gene
917,FUN_022919,gene
918,FUN_024869,gene
919,FUN_032157,gene
920,FUN_037341,gene
921,FUN_040713,gene
922,FUN_042932,gene
923,FUN_000219,gene
924,FUN_001114,gene
925,FUN_004055,gene
926,FUN_004609,gene
927,FUN_004949,gene
928,FUN_005336,gene
929,FUN_002572,gene
930,FUN_006864,gene
931,FUN_006265,gene
932,FUN_008662,gene
933,FUN_009297,gene
934,FUN_010161,gene
935,FUN_010991,gene
936,FUN_012812,gene
937,FUN_011684,gene
938,FUN_013573,gene
939,FUN_014202,gene
940,FUN_012045,gene
941,FUN_015746,gene
942,FUN_017858,gene
943,FUN_019017,gene
944,FUN_018443,gene
945,FUN_019352,gene
946,FUN_022665,gene
947,FUN_023056,gene
948,FUN_022857,gene
949,FUN_023547,gene
950,FUN_024247,gene
951,FUN_024599,gene
952,FUN_026478,gene
953,FUN_027829,gene
954,FUN_028169,gene
955,FUN_029225,gene
956,FUN_032553,gene
957,FUN_033043,gene
958,FUN_029348,gene
959,FUN_034165,gene
960,FUN_036317,gene
961,FUN_037845,gene
962,FUN_037852,gene
963,FUN_038734,gene
964,FUN_039010,gene
965,FUN_038638,gene
966,FUN_041264,gene
967,FUN_041500,gene
968,FUN_043035,gene
969,FUN_001923,gene
970,FUN_000217,gene
971,FUN_004342,gene
972,FUN_005106,gene
973,FUN_012875,gene
974,FUN_013636,gene
975,FUN_031832,gene
976,FUN_037854,gene
977,FUN_040550,gene
978,FUN_043432,gene
979,FUN_001376,gene
980,FUN_001069,gene
981,FUN_008677,gene
982,FUN_012361,gene
983,FUN_022198,gene
984,FUN_023529,gene
985,FUN_024776,gene
986,FUN_024666,gene
987,FUN_029441,gene
988,FUN_031890,gene
989,FUN_032052,gene
990,FUN_029716,gene
991,FUN_034660,gene
992,FUN_034415,gene
993,FUN_036223,gene
994,FUN_040029,gene
995,FUN_040479,gene
996,FUN_043181,gene
997,FUN_000313,gene
998,FUN_003444,gene
999,FUN_004760,gene
1000,FUN_006453,gene
1001,FUN_006894,gene
1002,FUN_007047,gene
1003,FUN_008073,gene
1004,FUN_009044,gene
1005,FUN_011260,gene
1006,FUN_014090,gene
1007,FUN_014112,gene
1008,FUN_015490,gene
1009,FUN_014449,gene
1010,FUN_014968,gene
1011,FUN_015202,gene
1012,FUN_015229,gene
1013,FUN_016109,gene
1014,FUN_016425,gene
1015,FUN_016690,gene
1016,FUN_016784,gene
1017,FUN_018054,gene
1018,FUN_018285,gene
1019,FUN_018362,gene
1020,FUN_023552,gene
1021,FUN_024922,gene
1022,FUN_027960,gene
1023,FUN_027215,gene
1024,FUN_028951,gene
1025,FUN_031308,gene
1026,FUN_031424,gene
1027,FUN_031670,gene
1028,FUN_031881,gene
1029,FUN_031887,gene
1030,FUN_032228,gene
1031,FUN_032371,gene
1032,FUN_032622,gene
1033,FUN_030045,gene
1034,FUN_035861,gene
1035,FUN_035913,gene
1036,FUN_036045,gene
1037,FUN_037707,gene
1038,FUN_037125,gene
1039,FUN_037144,gene
1040,FUN_038060,gene
1041,FUN_039875,gene
1042,FUN_039956,gene
1043,FUN_040986,gene
1044,FUN_042585,gene
1045,FUN_043354,gene
1046,FUN_043359,gene
1047,FUN_043367,gene
1048,FUN_043474,gene
1049,FUN_011906,gene
1050,FUN_027907,gene
1051,FUN_031288,gene
1052,FUN_033115,gene
1053,FUN_001296,gene
1054,FUN_001425,gene
1055,FUN_000559,gene
1056,FUN_002499,gene
1057,FUN_002584,gene
1058,FUN_006940,gene
1059,FUN_005788,gene
1060,FUN_005814,gene
1061,FUN_006256,gene
1062,FUN_008436,gene
1063,FUN_008585,gene
1064,FUN_008591,gene
1065,FUN_008592,gene
1066,FUN_008661,gene
1067,FUN_007999,gene
1068,FUN_009791,gene
1069,FUN_009060,gene
1070,FUN_009554,gene
1071,FUN_009598,gene
1072,FUN_010669,gene
1073,FUN_010750,gene
1074,FUN_013335,gene
1075,FUN_014118,gene
1076,FUN_012410,gene
1077,FUN_015572,gene
1078,FUN_014589,gene
1079,FUN_015713,gene
1080,FUN_016471,gene
1081,FUN_016744,gene
1082,FUN_016840,gene
1083,FUN_018512,gene
1084,FUN_018315,gene
1085,FUN_023046,gene
1086,FUN_023414,gene
1087,FUN_024907,gene
1088,FUN_025429,gene
1089,FUN_025260,gene
1090,FUN_025905,gene
1091,FUN_025935,gene
1092,FUN_025967,gene
1093,FUN_025776,gene
1094,FUN_027946,gene
1095,FUN_028092,gene
1096,FUN_028241,gene
1097,FUN_028309,gene
1098,FUN_028354,gene
1099,FUN_029389,gene
1100,FUN_030692,gene
1101,FUN_029404,gene
1102,FUN_031648,gene
1103,FUN_029525,gene
1104,FUN_032378,gene
1105,FUN_032383,gene
1106,FUN_032452,gene
1107,FUN_032494,gene
1108,FUN_032868,gene
1109,FUN_033019,gene
1110,FUN_030064,gene
1111,FUN_033857,gene
1112,FUN_033738,gene
1113,FUN_035781,gene
1114,FUN_035788,gene
1115,FUN_035796,gene
1116,FUN_034882,gene
1117,FUN_034815,gene
1118,FUN_037339,gene
1119,FUN_039686,gene
1120,FUN_040085,gene
1121,FUN_040140,gene
1122,FUN_040300,gene
1123,FUN_042618,gene
1124,FUN_043639,gene
1125,FUN_043550,gene
1126,FUN_003721,gene
1127,FUN_004114,gene
1128,FUN_004629,gene
1129,FUN_009654,gene
1130,FUN_016505,gene
1131,FUN_016869,gene
1132,FUN_017766,gene
1133,FUN_025308,gene
